,timeperiod,gt_date,Material,SubLotItemId,ComponentName,P100MOD_Lower_Spec,P100MOD_Upper_Spec,P100MOD_Actual,P10MOD_Lower_Spec,P10MOD_Upper_Spec,P10MOD_Actual,P300MOD_Lower_Spec,P300MOD_Upper_Spec,P300MOD_Actual,PDISP30X_Lower_Spec,PDISP30X_Upper_Spec,PDISP30X_Actual,PEB_Lower_Spec,PEB_Upper_Spec,PEB_Actual,PHARD_Lower_Spec,PHARD_Upper_Spec,PHARD_Actual,PMDRMH_Lower_Spec,PMDRMH_Upper_Spec,PMDRMH_Actual,PMDRML_Lower_Spec,PMDRML_Upper_Spec,PMDRML_Actual,PMDRT10_Lower_Spec,PMDRT10_Upper_Spec,PMDRT10_Actual,PMDRT2_Lower_Spec,PMDRT2_Upper_Spec,PMDRT2_Actual,PMDRT50_Lower_Spec,PMDRT50_Upper_Spec,PMDRT50_Actual,PMDRT90_Lower_Spec,PMDRT90_Upper_Spec,PMDRT90_Actual,PMIV_Lower_Spec,PMIV_Upper_Spec,PMIV_Actual,PML4_Lower_Spec,PML4_Upper_Spec,PML4_Actual,PMV_Lower_Spec,PMV_Upper_Spec,PMV_Actual,PRBRESIL_Lower_Spec,PRBRESIL_Upper_Spec,PRBRESIL_Actual,PSPGR_Lower_Spec,PSPGR_Upper_Spec,PSPGR_Actual,PT35_Lower_Spec,PT35_Upper_Spec,PT35_Actual,PT5_Lower_Spec,PT5_Upper_Spec,PT5_Actual,PTENSTG_Lower_Spec,PTENSTG_Upper_Spec,PTENSTG_Actual,BanburySubLotBarcode,BanburyMaterialCode
0,Not Applicable,09-03-2022,2156016WSTA1TL-MCB,4L42202239121449,Cap,,,,,,,,,,,,,,,,,,,12,16,15.11,12,4,2.4,1,4,0.65,1,3,0.73,1,3,0.98,1.4,1.8,1.56,1,3,67.3,,,,48,58,52.8,46.5,52.5,49.25,1.144,1.164,1.15,13.5,18.5,16.94,10.5,14.5,13.18,,,,4L42202239121449,35046FB
1,Not Applicable,09-03-2022,2156016WSTA1TL-MCB,4L42202239121449,Cap,,,,,,,,,,,,,,,,,,,12,16,15.11,12,4,2.4,1,4,0.65,1,3,0.73,1,3,0.98,1.4,1.8,1.56,1,3,67.3,,,,48,58,52.8,46.5,52.5,49.25,1.144,1.164,1.15,13.5,18.5,16.94,10.5,14.5,13.18,,,,4L42202239121449,35046FB
2,Not Applicable,09-03-2022,2156016WSTA1TL-MCB,4L42202239121449,Cap,,,,,,,,,,,,,,,,,,,12,16,15.11,12,4,2.4,1,4,0.65,1,3,0.73,1,3,0.98,1.4,1.8,1.56,1,3,67.3,,,,48,58,52.8,46.5,52.5,49.25,1.144,1.164,1.15,13.5,18.5,16.94,10.5,14.5,13.18,,,,4L42202239121449,35046FB
3,Not Applicable,09-03-2022,2156016WSTA1TL-MCB,4L42202239121449,Cap,,,,,,,,,,,,,,,,,,,12,16,15.11,12,4,2.4,1,4,0.65,1,3,0.73,1,3,0.98,1.4,1.8,1.56,1,3,67.3,,,,48,58,52.8,46.5,52.5,49.25,1.144,1.164,1.15,13.5,18.5,16.94,10.5,14.5,13.18,,,,4L42202239121449,35046FB
4,Not Applicable,09-03-2022,2156016WSTA1TL-MCB,4L42202239121449,Cap,,,,,,,,,,,,,,,,,,,12,16,15.11,12,4,2.4,1,4,0.65,1,3,0.73,1,3,0.98,1.4,1.8,1.56,1,3,67.3,,,,48,58,52.8,46.5,52.5,49.25,1.144,1.164,1.15,13.5,18.5,16.94,10.5,14.5,13.18,,,,4L42202239121449,35046FB
5,Not Applicable,09-03-2022,2156016WSTA1TL-MCB,4L42202239121449,Cap,,,,,,,,,,,,,,,,,,,12,16,15.11,12,4,2.4,1,4,0.65,1,3,0.73,1,3,0.98,1.4,1.8,1.56,1,3,67.3,,,,48,58,52.8,46.5,52.5,49.25,1.144,1.164,1.15,13.5,18.5,16.94,10.5,14.5,13.18,,,,4L42202239121449,35046FB
6,Not Applicable,10-03-2022,2156016WSTA1TL-MCB,4L42202239121449,Cap,,,,,,,,,,,,,,,,,,,12,16,15.11,12,4,2.4,1,4,0.65,1,3,0.73,1,3,0.98,1.4,1.8,1.56,1,3,67.3,,,,48,58,52.8,46.5,52.5,49.25,1.144,1.164,1.15,13.5,18.5,16.94,10.5,14.5,13.18,,,,4L42202239121449,35046FB
7,Not Applicable,10-03-2022,2156016WSTA1TL-MCB,4L42202239121449,Cap,,,,,,,,,,,,,,,,,,,12,16,15.11,12,4,2.4,1,4,0.65,1,3,0.73,1,3,0.98,1.4,1.8,1.56,1,3,67.3,,,,48,58,52.8,46.5,52.5,49.25,1.144,1.164,1.15,13.5,18.5,16.94,10.5,14.5,13.18,,,,4L42202239121449,35046FB
8,Not Applicable,10-03-2022,2156016WSTA1TL-MCB,4L42202239121449,Cap,,,,,,,,,,,,,,,,,,,12,16,15.11,12,4,2.4,1,4,0.65,1,3,0.73,1,3,0.98,1.4,1.8,1.56,1,3,67.3,,,,48,58,52.8,46.5,52.5,49.25,1.144,1.164,1.15,13.5,18.5,16.94,10.5,14.5,13.18,,,,4L42202239121449,35046FB
9,Not Applicable,10-03-2022,2156016WSTA1TL-MCB,4L42202239121449,Cap,,,,,,,,,,,,,,,,,,,12,16,15.11,12,4,2.4,1,4,0.65,1,3,0.73,1,3,0.98,1.4,1.8,1.56,1,3,67.3,,,,48,58,52.8,46.5,52.5,49.25,1.144,1.164,1.15,13.5,18.5,16.94,10.5,14.5,13.18,,,,4L42202239121449,35046FB
10,Not Applicable,10-03-2022,2156016WSTA1TL-MCB,4L42202239121449,Cap,,,,,,,,,,,,,,,,,,,12,16,15.11,12,4,2.4,1,4,0.65,1,3,0.73,1,3,0.98,1.4,1.8,1.56,1,3,67.3,,,,48,58,52.8,46.5,52.5,49.25,1.144,1.164,1.15,13.5,18.5,16.94,10.5,14.5,13.18,,,,4L42202239121449,35046FB
11,Not Applicable,10-03-2022,2156016WSTA1TL-MCB,4L42202239121449,Cap,,,,,,,,,,,,,,,,,,,12,16,15.11,12,4,2.4,1,4,0.65,1,3,0.73,1,3,0.98,1.4,1.8,1.56,1,3,67.3,,,,48,58,52.8,46.5,52.5,49.25,1.144,1.164,1.15,13.5,18.5,16.94,10.5,14.5,13.18,,,,4L42202239121449,35046FB
12,Not Applicable,09-03-2022,2156016WSTA1TL-MCB,4L42202239122049,Cap,,,,,,,,,,,,,,,,,,,12,16,15.71,12,4,2.51,1,4,0.63,1,3,0.7,1,3,0.95,1.4,1.8,1.51,,,,,,,,,,46.5,52.5,49.34,1.144,1.164,1.153,,,,,,,,,,4L42202239122049,35046FB
13,Not Applicable,09-03-2022,2156016WSTA1TL-MCB,4L42202239122049,Cap,,,,,,,,,,,,,,,,,,,12,16,15.71,12,4,2.51,1,4,0.63,1,3,0.7,1,3,0.95,1.4,1.8,1.51,,,,,,,,,,46.5,52.5,49.34,1.144,1.164,1.153,,,,,,,,,,4L42202239122049,35046FB
14,Not Applicable,09-03-2022,2156016WSTA1TL-MCB,4L42202239122049,Cap,,,,,,,,,,,,,,,,,,,12,16,15.71,12,4,2.51,1,4,0.63,1,3,0.7,1,3,0.95,1.4,1.8,1.51,,,,,,,,,,46.5,52.5,49.34,1.144,1.164,1.153,,,,,,,,,,4L42202239122049,35046FB
