timeperiod,gt_date,Material,SubLotItemId,ComponentName,P100MOD_Lower_Spec,P100MOD_Upper_Spec,P100MOD_Actual,P10MOD_Lower_Spec,P10MOD_Upper_Spec,P10MOD_Actual,P300MOD_Lower_Spec,P300MOD_Upper_Spec,P300MOD_Actual,PDISP30X_Lower_Spec,PDISP30X_Upper_Spec,PDISP30X_Actual,PEB_Lower_Spec,PEB_Upper_Spec,PEB_Actual,PHARD_Lower_Spec,PHARD_Upper_Spec,PHARD_Actual,PMDRMH_Lower_Spec,PMDRMH_Upper_Spec,PMDRMH_Actual,PMDRML_Lower_Spec,PMDRML_Upper_Spec,PMDRML_Actual,PMDRT10_Lower_Spec,PMDRT10_Upper_Spec,PMDRT10_Actual,PMDRT2_Lower_Spec,PMDRT2_Upper_Spec,PMDRT2_Actual,PMDRT50_Lower_Spec,PMDRT50_Upper_Spec,PMDRT50_Actual,PMDRT90_Lower_Spec,PMDRT90_Upper_Spec,PMDRT90_Actual,PMIV_Lower_Spec,PMIV_Upper_Spec,PMIV_Actual,PML4_Lower_Spec,PML4_Upper_Spec,PML4_Actual,PMV_Lower_Spec,PMV_Upper_Spec,PMV_Actual,PRBRESIL_Lower_Spec,PRBRESIL_Upper_Spec,PRBRESIL_Actual,PSPGR_Lower_Spec,PSPGR_Upper_Spec,PSPGR_Actual,PT35_Lower_Spec,PT35_Upper_Spec,PT35_Actual,PT5_Lower_Spec,PT5_Upper_Spec,PT5_Actual,PTENSTG_Lower_Spec,PTENSTG_Upper_Spec,PTENSTG_Actual
Control 1,25-03-2022,2156016WSTA1TL-MCB,4L42202232372640,Cap,,,,,,,,,,,,,,,,,,,8.5,11.5,10.6,8.5,,,,,,,,,,,,1.1,1.34,1.24,,,,,,,,,,,,,1.087,1.107,1.102,,,,,,,,,
Control 1,25-03-2022,2156016WSTA1TL-MCB,4L42202232344412,Cap,,,,,,,,,,,,,,,,,,,12,16,14.05,12,4,2.34,1,4,0.65,1,3,0.74,1,3,0.97,1.4,1.8,1.61,,,,,,,,,,46.5,52.5,49.73,1.144,1.164,1.148,,,,,,,,,
Control 1,25-03-2022,2156016WSTA1TL-MCB,4L4220223234433,Cap,,,,,,,,,,,,,,,,,,,12,16,14.69,12,4,2.37,1,4,0.66,1,3,0.74,1,3,0.97,1.4,1.8,1.55,1,3,66.3,,,,48,58,52.2,46.5,52.5,49.52,1.144,1.164,1.147,13.5,18.5,17.02,10.5,14.5,13.38,,,
Control 1,25-03-2022,2156016WSTA1TL-MCB,4L42202232344056,Cap,,,,,,,,,,,,,,,,,,,12,16,14.7,12,4,2.44,1,4,0.65,1,3,0.73,1,3,0.96,1.4,1.8,1.58,,,,,,,,,,46.5,52.5,49.49,1.144,1.164,1.151,,,,,,,,,
Control 1,25-03-2022,2156016WSTA1TL-MCB,4L422022323142456,Cap,300,400,320.246,65,95,70.2107,1100,1500,1264.52,,,,520,620,552.425,,,,10,14,11.93,10,3,1.86,1,3,0.38,1,3,0.44,1,3,0.54,0.66,0.9,0.75,1,3,54.6,,,,41,49,42,,,,,,,10.5,14.5,12.83,7,11,9.35,2950,3650,3122.64
Control 1,25-03-2022,2156016WSTA1TL-MCB,4L422022321105850,Cap,,,,,,,,,,,,,,,,,,,12,16,14.3,12,4,2.35,1,4,0.66,1,3,0.75,1,3,0.99,1.4,1.8,1.63,,,,,,,,,,46.5,52.5,49.73,1.144,1.164,1.15,,,,,,,,,
Control 1,25-03-2022,2156016WSTA1TL-MCB,4L422022321212712,Cap,,,,,,,,,,,,,,,,,,,10.9,14.1,13.5,10.9,3,2.48,1,3,0.54,1,3,0.69,1,3,0.91,1.22,1.58,1.4,,,,,,,,,,,,,,,1.135,,,,,,,,,
Control 1,26-03-2022,2156016WSTA1TL-MCB,4L422022321212712,Cap,,,,,,,,,,,,,,,,,,,10.9,14.1,13.5,10.9,3,2.48,1,3,0.54,1,3,0.69,1,3,0.91,1.22,1.58,1.4,,,,,,,,,,,,,,,1.135,,,,,,,,,
Control 1,27-03-2022,2156016WSTA1TL-MCB,4L422022321212712,Cap,,,,,,,,,,,,,,,,,,,10.9,14.1,13.5,10.9,3,2.48,1,3,0.54,1,3,0.69,1,3,0.91,1.22,1.58,1.4,,,,,,,,,,,,,,,1.135,,,,,,,,,
Control 1,25-03-2022,2156016WSTA1TL-MCB,4L422022321204951,Cap,,,,,,,,,,,,,,,,59,65,63,12.5,15.5,13.84,12.5,,,,,,,,,,,,0.67,0.93,0.83,,,,,,,,,,66.5,72.5,69.3,,,,,,,,,,,,
